subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_vel
AE03,1,1,1,1220,1252,-9.57058860884107,-5.61728624520649,220,3.95330236363458,170.972996866153,2232,2284,-5.22201339998545,-14.7219129970117,232,-9.49989959702624,247.878657382221,1220,1252,-10.8367913748678,-6.39889465588203,220,4.43789671898578,173.643722401009,2232,2284,-6.53987365902841,-16.4984249697816,232,-9.95855131075316,263.345531926667,1220,1252,-10.2036899918544,-6.00809045054426,220,4.19559954131018,171.790717860154,2232,2284,-5.88094352950693,-15.6101689833966,232,-9.7292254538897,254.851060219182,1168,1212,11.3480173758089,16.5814829767737,168,5.23346560096475,182.721209874306,2180,2244,17.03114157656,1.85661743418843,180,-15.1745241423716,349.645440160205,1168,1212,6.93918000162615,12.431104641217,168,5.49192463959084,175.411164838806,2180,2248,12.1225150758306,-0.704522825996658,180,-12.8270379018272,306.309977805025,1168,1212,9.14359868871753,14.5062938089953,168,5.36269512027779,176.892122192672,2180,2248,14.5768283261953,0.512922139271057,180,-14.0639061869242,325.424433677355
AE03,2,1,1,1204,1228,-9.24471326869839,-7.13206802862658,204,2.11264524007181,102.599256100985,2228,2280,-7.54134712574561,-16.9500336412551,228,-9.40868651550954,239.603077941345,1204,1228,-10.8605385143039,-8.58394765433117,204,2.27659085997269,109.574771635075,2228,2280,-8.72831728133409,-18.9087357637617,228,-10.1804184824276,251.095380454555,1204,1228,-10.0526258915011,-7.85800784147887,204,2.19461805002225,106.08701386803,2228,2280,-8.13483220353985,-17.9293847025084,228,-9.79455249896857,245.282099080382,1148,1184,12.8196927127617,15.3426810938413,148,2.5229883810796,95.1524219485349,2168,2236,14.3987004398141,-1.95774280868414,168,-16.3564432484982,374.53249524826,1152,1184,7.78775477777997,10.4406385492744,152,2.65288377149438,110.444404075083,2172,2236,9.4583157678367,-3.42300171813095,172,-12.8813174859677,316.479616499864,1148,1184,10.237535416062,12.8916598215578,148,2.65412440549586,102.798413011809,2172,2236,11.8411996656367,-2.69037226340755,172,-14.5315719290442,342.616192471249
AE03,3,1,1,1204,1248,-9.29746988996485,-17.0108362649879,204,-7.71336637502301,235.637441596139,2212,2264,-17.0490991629888,-6.99871067534852,212,10.0503884876403,255.904350126114,1204,1248,-10.8842818777131,-19.0914164689077,204,-8.20713459119455,249.655206475028,2212,2268,-19.1771156068423,-8.1308856933615,212,11.0462299134808,273.376370886276,1204,1248,-10.090875883839,-18.0511263669478,204,-7.96025048310878,242.646324035584,2212,2264,-18.1131073849156,-7.62991927708182,212,10.4831881078338,264.640360506195,1128,1188,12.459639414418,-1.17394446178579,128,-13.6335838762038,355.662893937284,2136,2208,-0.878914806784976,15.1294625351939,136,16.0083773419789,372.803653327626,1132,1188,7.02658636047142,-3.72186544434229,132,-10.7484518048137,289.477665132441,2136,2204,-4.01591414950318,10.628506345648,136,14.6444204951512,325.676670749205,1132,1188,9.6622340521917,-2.44790495306404,132,-12.1101390052557,317.993358931511,2136,2208,-2.44741447814408,12.9499443491069,136,15.397358827251,346.817606546145
AE03,4,1,1,1196,1224,-9.34541665904858,-5.31965945340418,196,4.0257572056444,176.608875768274,2220,2280,-5.58558610328215,-17.3815469442399,220,-11.7959608409577,272.59238207925,1196,1228,-10.9768447788953,-6.7681873436373,196,4.20865743525801,180.775345515667,2220,2280,-7.24596648746058,-19.4227299342811,220,-12.1767634468205,283.554198023824,1196,1228,-10.1611307189719,-6.02439603120978,196,4.13673468776216,178.692110641971,2220,2280,-6.41577629537136,-18.4021384392605,220,-11.9863621438891,277.127366042241,1108,1148,12.2558522094814,17.3678007836638,108,5.11194857418246,193.359086773748,2132,2204,17.2610989758378,-2.18324670477475,132,-19.4443456806126,392.192335223086,1108,1148,7.3270819679829,12.3769177715935,108,5.04983580361059,179.332833038503,2132,2208,11.7413449734482,-4.10037761333608,132,-15.8417225867843,318.808568252654,1108,1148,9.79146708873213,14.8723592776287,108,5.08089218889653,184.523212841922,2132,2204,14.501221974643,-3.06041761555115,132,-17.5616395901942,354.940836304099
AE03,5,1,1,1208,1252,-9.35500443053253,-16.6092666183994,208,-7.25426218786686,230.836241434733,2220,2280,-17.1682887096647,-5.78548264547301,220,11.3828060641917,275.993937531408,1208,1252,-10.9981972311874,-18.6814798185817,208,-7.68328258739436,244.13863565774,2220,2280,-19.2956288580787,-7.01568769303971,220,12.279941165039,288.909859611917,1208,1252,-10.1766008308599,-17.6453732184906,208,-7.46877238763061,237.487438546237,2220,2280,-18.2319587838717,-6.40058516925636,220,11.8313736146153,281.015087329236,1132,1188,12.099330074404,-0.794834564550371,132,-12.8941646389544,359.657290442099,2144,2216,-1.03100020309893,16.6895841888264,144,17.7205843919253,382.568157855492,1132,1188,7.1345941460955,-3.06474307216357,132,-10.1993372182591,282.572675534795,2144,2216,-4.11145472467147,12.235106471992,144,16.3465611966635,362.700244817551,1132,1188,9.61696211024975,-1.92978881835697,132,-11.5467509286067,317.255212220006,2144,2216,-2.5712274638852,14.4623453304092,144,17.0335727942944,366.047456372798
AE03,6,1,1,1204,1252,-9.42449993476838,-1.21108818798975,204,8.21341174677864,246.844311734287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1208,1256,-10.7869101233891,-2.00565172036721,208,8.78125840302193,261.239968333145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1208,1252,-9.99422355727051,-1.72760913865636,208,8.26661441861415,254.042140033716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1104,1164,12.4983689754196,22.9546835564619,104,10.4563145810424,290.884139643007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1108,1164,7.65301582293503,17.84374930965,108,10.190733486715,259.406862067463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1108,1164,10.1576582209391,20.399216433056,108,10.2415582121168,275.145500855235,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE03,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE03,8,1,1,1200,1240,-9.41970803725834,-1.79415887082694,200,7.6255491664314,249.09371646014,1800,1872,-1.05358642621012,-14.9266808108478,-200,-13.8730943846376,262.340740115657,1200,1240,-10.3872698935985,-2.02532278304813,200,8.36194711055037,272.577939159142,1800,1872,-1.34642672958478,-16.3239885450299,-200,-14.9775618154451,294.050893338212,1200,1240,-9.90348896542842,-1.90974082693753,200,7.99374813849088,260.835827809641,1800,1872,-1.20000657789745,-15.6253346779388,-200,-14.4253281000414,277.220654120553,1116,1168,11.8087759072653,21.3802580978892,116,9.57148219062397,269.443405933104,1712,1800,22.7125693505929,1.6927083929882,-288,-21.0198609576047,369.082380627266,1116,1168,8.26248383313983,18.1028005972606,116,9.84031676412081,308.482205661726,1716,1800,18.7585824430751,0.765283738082092,-284,-17.993298704993,317.514235472544,1116,1168,10.0356298702026,19.7415293475749,116,9.70589947737239,288.393514802787,1712,1800,20.7879615047226,1.22899606553514,-288,-19.5589654391875,342.65807906601
AE03,9,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE03,10,1,1,1188,1228,-9.1367528193094,-1.48175024524964,188,7.65500257405977,263.923142578565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1188,1232,-10.6490570708119,-2.29574946876374,188,8.35330760204814,277.308351432146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1188,1228,-9.89290494506064,-1.97968314890124,188,7.9132217961594,270.615747005356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1128,1184,11.9622072518475,21.9961067305184,128,10.0338994786708,286.37420505174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1128,1180,7.93092201412255,17.8157359278201,128,9.88481391369759,285.858408850935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1128,1180,9.94656463298504,19.827383993262,128,9.88081936027697,286.116306951337,NaN,NaN,NaN,NaN,NaN,NaN,NaN
