subject,trial,EL_quality,AH_quality,EL_Right_P1_t_start,EL_Right_P1_t_end,EL_Right_P1_pos_start,EL_Right_P1_pos_end,EL_Right_P1_latency,EL_Right_P1_amp,EL_Right_P1_vel,EL_Right_P2_t_start,EL_Right_P2_t_end,EL_Right_P2_pos_start,EL_Right_P2_pos_end,EL_Right_P2_latency,EL_Right_P2_amp,EL_Right_P2_vel,EL_Left_P1_t_start,EL_Left_P1_t_end,EL_Left_P1_pos_start,EL_Left_P1_pos_end,EL_Left_P1_latency,EL_Left_P1_amp,EL_Left_P1_vel,EL_Left_P2_t_start,EL_Left_P2_t_end,EL_Left_P2_pos_start,EL_Left_P2_pos_end,EL_Left_P2_latency,EL_Left_P2_amp,EL_Left_P2_vel,EL_Avg_P1_t_start,EL_Avg_P1_t_end,EL_Avg_P1_pos_start,EL_Avg_P1_pos_end,EL_Avg_P1_latency,EL_Avg_P1_amp,EL_Avg_P1_vel,EL_Avg_P2_t_start,EL_Avg_P2_t_end,EL_Avg_P2_pos_start,EL_Avg_P2_pos_end,EL_Avg_P2_latency,EL_Avg_P2_amp,EL_Avg_P2_vel,AH_Right_P1_t_start,AH_Right_P1_t_end,AH_Right_P1_pos_start,AH_Right_P1_pos_end,AH_Right_P1_latency,AH_Right_P1_amp,AH_Right_P1_vel,AH_Right_P2_t_start,AH_Right_P2_t_end,AH_Right_P2_pos_start,AH_Right_P2_pos_end,AH_Right_P2_latency,AH_Right_P2_amp,AH_Right_P2_vel,AH_Left_P1_t_start,AH_Left_P1_t_end,AH_Left_P1_pos_start,AH_Left_P1_pos_end,AH_Left_P1_latency,AH_Left_P1_amp,AH_Left_P1_vel,AH_Left_P2_t_start,AH_Left_P2_t_end,AH_Left_P2_pos_start,AH_Left_P2_pos_end,AH_Left_P2_latency,AH_Left_P2_amp,AH_Left_P2_vel,AH_Avg_P1_t_start,AH_Avg_P1_t_end,AH_Avg_P1_pos_start,AH_Avg_P1_pos_end,AH_Avg_P1_latency,AH_Avg_P1_amp,AH_Avg_P1_vel,AH_Avg_P2_t_start,AH_Avg_P2_t_end,AH_Avg_P2_pos_start,AH_Avg_P2_pos_end,AH_Avg_P2_latency,AH_Avg_P2_amp,AH_Avg_P2_vel
AE08,1,1,1,1240,1264,-4.4349018323068,-1.31197828478434,240,3.12292354752246,163.664663925422,2216,2260,-1.78678029690209,-10.6680787394372,216,-8.88129844253507,323.196578649047,1240,1264,-1.78923982814298,1.37595319403247,240,3.16519302217544,154.876627277899,2220,2260,0.836995984457672,-7.88222712376225,220,-8.71922310821992,297.552683377,1240,1264,-3.11207083022489,0.0319874546240656,240,3.14405828484895,159.270645601661,2220,2260,-0.595392823967958,-9.2751529315997,220,-8.67976010763175,310.374631013023,1168,1200,-3.84201872497651,-1.60478976151329,168,2.23722896346322,85.345719516919,2152,2196,-1.91157993036622,-9.01533900809728,152,-7.10375907773106,241.252074333416,1168,1204,-5.90289351835222,-3.13440083772783,168,2.76849268062439,113.122038450483,2148,2196,-3.53201922120234,-11.3344429996506,148,-7.80242377844822,238.734187866393,1168,1200,-4.87245612166436,-2.44597899851136,168,2.426477123153,98.2296842903625,2148,2196,-2.65461600354026,-10.1748910038739,148,-7.52027500033366,239.993131099905
AE08,2,1,1,1188,1208,-5.17317892822985,-7.95226842870122,188,-2.77908950047138,187.376243271576,2224,2272,-7.46632895826098,2.89522254788569,224,10.3615515061467,271.033257073603,1184,1204,-2.1679234151659,-5.34650671019588,184,-3.17858329502998,200.547814082992,2224,2272,-4.92156354650798,5.16829506533315,224,10.0898586118411,261.948095160977,1184,1204,-3.60704880641004,-6.54791594857425,184,-2.9408671421642,193.962028677284,2224,2272,-6.19394625238448,4.03175880660942,224,10.2257050589939,265.595748277634,1112,1140,-4.54139648050115,-6.96518106829702,112,-2.42378458779588,115.246782809803,2148,2208,-6.40401718967987,2.78273828441729,148,9.18675547409715,238.059869044501,1112,1140,-6.3076660624774,-8.84888518240856,112,-2.54121911993116,117.19959022757,2148,2208,-8.50262184201643,1.02943770257714,148,9.53205954459357,242.178295870577,1112,1140,-5.42453127148927,-7.90703312535279,112,-2.48250185386352,116.223186518687,2148,2208,-7.45331951584815,1.90608799349721,148,9.35940750934536,233.226461464273
AE08,3,1,1,1212,1256,-4.82379697352254,-11.206813004372,212,-6.38301603084948,202.836028497596,2172,2224,-12.4543754824711,-0.974829424266809,172,11.4795460582043,340.312743305752,1216,1252,-2.30312336340296,-8.47318975302829,216,-6.17006638962532,217.962946523411,2172,2224,-9.761989815036,1.48667079795338,172,11.2486606129894,368.777900545773,1212,1256,-3.52904719213228,-9.87732550620252,212,-6.34827831407024,209.923212050482,2172,2224,-11.1081826487535,0.255920686843286,172,11.3641033355968,354.545321925762,1136,1180,-4.66226954791344,-9.53551685434917,136,-4.87324730643573,155.967534422352,2088,2148,-10.7013085787271,-0.925071478129912,88,9.77623710059723,270.843606564598,1132,1180,-6.05886477855112,-11.5949139462399,132,-5.53604916768876,167.634784188481,2088,2156,-12.7265651667131,-2.13323444152558,88,10.5933307251875,277.584424054666,1132,1180,-5.28987210901929,-10.5652154002945,132,-5.27534329127523,161.801159305417,2088,2152,-11.7139368727201,-1.62371784103456,88,10.0902190316856,272.973501789887
AE08,4,1,1,1196,1220,-4.73578296102006,-1.45222647246435,196,3.28355648855571,196.820522439848,2220,2280,-1.83596965812746,-12.7896194031913,220,-10.9536497450639,309.573679176259,1196,1220,-1.93679930624041,1.20616652262874,196,3.14296582886916,186.859886590154,2220,2280,0.790228786254459,-10.1131138164669,220,-10.9033426027214,307.881717926313,1196,1220,-3.33629113363024,-0.123029974917801,196,3.21326115871244,191.840204515001,2220,2280,-0.5228704359365,-11.4513666098291,220,-10.9284961738926,308.727698551286,1120,1152,-4.05165555944364,-1.30216210184019,120,2.74949345760346,111.039143592808,2144,2212,-1.4716096629702,-10.9674890037102,144,-9.49587934073996,203.135969198165,1120,1152,-5.59694467348448,-2.79376119882913,120,2.80318347465535,110.436237876905,2144,2212,-2.91960217361516,-13.2222376802671,144,-10.302635506652,240.046843135168,1120,1152,-4.82430011646406,-2.04796165033466,120,2.7763384661294,110.594292950367,2144,2212,-2.19560591829268,-12.0948633419887,144,-9.89925742369597,221.591406166666
AE08,5,1,1,1204,1248,-2.60292768449253,3.62158910905582,204,6.22451679354835,173.391902819549,2068,2188,3.67798398990964,-10.5253584985151,68,-14.2033424884247,187.556361079939,1204,1248,0.196953466317942,6.28216343382357,204,6.08520996750562,176.320283717773,2068,2192,6.38673762530148,-7.77591233393325,68,-14.1626499592347,187.162921608659,1204,1248,-1.20298710908729,4.9518762714397,204,6.15486338052699,174.531388717605,2068,2192,5.03236080760556,-9.15658462904912,68,-14.1889454366547,186.764638830794,1132,1184,-2.11032889485587,3.23468479952474,132,5.34501369438061,137.12019629095,2260,2296,-9.09238309456433,-11.4964253080351,260,-2.40404221347075,76.8603834939469,1132,1184,-3.21670714113575,2.60928013835295,132,5.82598727948871,148.770503798792,2264,2296,-10.73806624535,-12.9547671223671,264,-2.21670087701711,84.9931243594706,1132,1184,-2.66351801799581,2.92198246893885,132,5.58550048693466,142.945350044871,2260,2296,-9.8529449878644,-12.2255962152011,260,-2.37265122733668,80.9267539267087
AE08,6,1,1,1204,1232,-4.53033049811614,-0.0443146956307181,204,4.48601580248542,218.088111580262,2160,2216,0.595765110035217,-12.0028951449145,160,-12.5986602549497,345.772752493336,1204,1232,-1.72774959174233,2.6520627660145,204,4.37981235775683,214.546159293532,2164,2216,3.48915630917831,-9.40533154709306,164,-12.8944878562714,353.661503882215,1204,1232,-3.12904004492923,1.30387403519189,204,4.43291408012113,216.317135436897,2160,2216,2.05472443526361,-10.7041133460038,160,-12.7588377812674,349.717128187775,1120,1160,-3.25012088822496,0.673986542388051,120,3.92410743061301,144.248250461552,2080,2144,0.821919409104872,-9.75894682880591,80,-10.5808662379108,266.941419170338,1124,1160,-4.4004441510958,-0.285052167819653,124,4.11539198327615,167.678042428796,2080,2144,0.401791007071088,-11.5362560502563,80,-11.9380470573274,288.215181745543,1120,1160,-3.87739155126726,0.194467187284199,120,4.07185873855146,155.963146445174,2080,2144,0.61185520808798,-10.6476014395311,80,-11.2594566476191,270.337786713143
AE08,7,1,1,1204,1256,-4.42266559355291,3.30270647292026,204,7.72537206647317,204.072237386067,2224,2288,4.02109933368034,-11.4742531896451,224,-15.4953525233255,371.499238549053,1204,1256,-1.89007482589896,5.74405212764607,204,7.63412695354502,201.486027502172,2224,2292,6.59332774808368,-9.27349157375125,224,-15.8668193218349,360.826595513284,1204,1256,-3.15637020972594,4.52337930028316,204,7.6797495100091,202.681921076245,2224,2288,5.30721354088201,-10.2394827519544,224,-15.5466962928364,365.372280147616,1124,1188,-3.68035566278962,3.13918227622317,124,6.81953793901279,197.076205351466,2148,2224,3.86288480799799,-9.87960942814814,148,-13.7424942361461,288.750802634128,1132,1188,-4.54166563881309,2.78516193214704,132,7.32682757096013,186.299599889367,2148,2224,3.77994766883888,-11.544143645602,148,-15.3240913144408,311.425893459912,1128,1188,-4.07899960712131,2.96217210418511,128,7.04117171130642,190.295554640826,2148,2224,3.82141623841843,-10.7118765368751,148,-14.5332927752935,293.914981484559
AE08,8,1,1,1220,1252,-4.68687657937373,-0,220,4.68687657937373,198.831016775318,2004,2068,0.979751847911963,-10.6038710956094,4,-11.5836229435214,248.589398259001,1220,1256,-2.21954814616462,2.62012540252904,220,4.83967354869366,200.484673127672,2004,2068,3.57499672838788,-8.06090579762454,4,-11.6359025260124,250.699133468908,1220,1256,-3.45321236276917,1.36422505330177,220,4.81743741607094,199.657844951495,2004,2068,2.27737428814992,-9.33238844661698,4,-11.6097627347669,249.644265863954,1128,1168,-3.74530696826896,0.377269826625893,128,4.12257679489486,135.414344352928,1912,1984,1.00069017578878,-8.9645156236228,-88,-9.96520579941158,224.771909954426,1124,1168,-5.25681322287569,-0.759921306612581,124,4.49689191626311,147.496070999614,1908,1980,0.591092014784171,-10.392593372185,-92,-10.9836853869692,242.524050925034,1124,1168,-4.56724620892052,-0.191325739993344,124,4.37592046892718,141.455207676271,1912,1980,0.704345974957162,-9.60377498076618,-88,-10.3081209557233,233.64798043973
AE08,9,1,1,1208,1252,-4.02599894793909,3.44255063133162,208,7.4685495792707,211.230876436255,2124,2160,3.81771423379558,-0.0147715678284425,124,-3.83248580162403,141.048360384031,1208,1256,-1.48913106608444,6.41591352650824,208,7.90504459259268,202.190877812533,2124,2156,6.45967110959663,2.65451941822681,124,-3.80515169136982,145.955927298202,1208,1256,-2.75756500701176,5.01507313057116,208,7.77263813758292,205.161688212627,2124,2160,5.13869267169611,1.24493726556262,124,-3.89375540613348,143.502143841117,1124,1184,-3.75678500666887,3.62033917343813,124,7.37712418010701,184.779106713483,2048,2084,3.51330710845807,0.406264105441122,48,-3.10704300301695,121.712599379249,1128,1188,-4.46265535844173,3.46770159678006,128,7.9303569552218,195.238977407249,2040,2088,3.52806049717095,-0.398147365087783,40,-3.92620786225873,143.445879373459,1128,1184,-4.02949539079376,3.46858506718496,128,7.49808045797872,182.179625191255,2048,2084,3.39679449891652,0.0892474023450402,48,-3.30754709657148,126.794866160438
AE08,10,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2216,2240,-9.81936750096465,-12.8832357863195,216,-3.06386828535483,147.687264201022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2216,2244,-7.48085062108189,-10.6561904750842,216,-3.17533985400229,154.981442672849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2216,2244,-8.65010906102327,-11.8421966627788,216,-3.19208760175553,151.334353436936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2164,2192,-9.34862772158299,-11.3399425909741,164,-1.99131486939113,96.9398034608181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2164,2196,-10.34934874476,-13.0516992399843,164,-2.70235049522431,115.49835824739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2164,2192,-9.84898823317151,-12.1055922682619,164,-2.25660403509043,105.994513173129
